Path,Width,Height,Megabytes,Format
images/sections/illustrations/4.jpg,2000,1544,1.24,JPEG
images/sections/events/jewish-agency/_MG_9507.jpg,2500,1667,1.20,JPEG
images/sections/illustrations/דני-07.jpg,1080,1080,1.17,JPEG
images/sections/illustrations/קטנים-36.jpg,2251,2251,1.13,JPEG
images/sections/events/health-il-2019/4.jpg,3162,1326,1.09,JPEG
images/sections/branding/eretz-ir/1.jpg,2500,2500,1.03,JPEG
images/sections/events/kayamut-2022/476200488_1057424056382606_44256041989446229_n.jpg,1600,1067,0.95,JPEG
images/sections/events/jewish-agency/_MG_9513.jpg,2500,1667,0.87,JPEG
images/sections/branding/oasis/4מוקאפ_מחשב.jpg,6000,3200,0.85,JPEG
images/sections/events/kayamut-2022/קיימות_22.jpg,1600,1067,0.72,JPEG
images/sections/events/kayamut-community-2024/1-wide.webp,2000,1333,0.71,WEBP
images/sections/illustrations/דני-10.jpg,1080,1080,0.69,JPEG
images/sections/events/kayamut-2022/476748218_1057423856382626_118652543843709729_n.jpg,1600,1067,0.65,JPEG
images/sections/illustrations/דני-12.jpg,1080,1080,0.65,JPEG
images/sections/illustrations/דני-08.jpg,1080,1080,0.64,JPEG
images/sections/branding/gaya/37-wide.webp,2000,2000,0.62,WEBP
images/sections/events/kayamut-community-2024/466392176_996461395812206_8663560867627433290_n.jpg,2048,1365,0.62,JPEG
images/sections/events/kayamut-community-2024/466913029_996461442478868_2471575273199627420_n.jpg,2048,1365,0.61,JPEG
images/sections/events/kayamut-community-2024/466971795_996460175812328_307130429571726631_n.jpg,2048,1365,0.61,JPEG
images/sections/events/health-il-2019/0.jpg,2048,1364,0.60,JPEG
images/sections/events/ofek/ASI0400_websize (1).jpg,2048,1365,0.60,JPEG
images/sections/events/ofek/ASI0400_websize.jpg,2048,1365,0.60,JPEG
images/sections/events/kayamut-community-2024/466914257_996459939145685_912842190047332796_n.jpg,2048,1365,0.59,JPEG
images/sections/events/planners-2025/מפה_פוסט.jpg,1000,1000,0.59,JPEG
images/sections/events/kayamut-community-2024/466621155_996459829145696_7257951084330576060_n.jpg,2048,1365,0.53,JPEG
images/sections/events/kayamut-community-2024/466680239_996459892479023_6282726539513396909_n.jpg,2048,1365,0.53,JPEG
images/sections/illustrations/דני-14.jpg,1080,1080,0.51,JPEG
images/sections/events/jewish-agency/mg-9705-2-wide.webp,2000,1334,0.50,WEBP
images/sections/events/kayamut-2022/476200488-1057424056382606-44256041989446229-n-wide.webp,1600,1067,0.50,WEBP
images/sections/events/kayamut-community-2024/466642782_996459619145717_2868371301447535920_n.jpg,2048,1365,0.50,JPEG
images/sections/events/ofek/ASI0020_websize.jpg,2048,1365,0.50,JPEG
images/sections/events/planners-2025/Yearly Convention-102.jpg,1280,1920,0.50,JPEG
images/sections/events/planners-2025/Yearly Convention-1.jpg,1920,1280,0.49,JPEG
images/sections/events/planners-2025/Yearly Convention-93.jpg,1280,1920,0.49,JPEG
images/sections/events/kayamut-community-2024/466616786_996459879145691_6259909503053316732_n.jpg,2048,1365,0.48,JPEG
images/sections/events/planners-2025/Yearly Convention-36.jpg,1920,1280,0.47,JPEG
images/sections/events/planners-2025/Yearly Convention-96.jpg,1920,1280,0.47,JPEG
images/sections/illustrations/08-wide.webp,2000,1999,0.47,WEBP
images/sections/events/jewish-agency/mg-9570-wide.webp,2000,1334,0.46,WEBP
images/sections/events/planners-2025/Yearly Convention-38.jpg,1920,1280,0.46,JPEG
images/sections/events/planners-2025/Yearly Convention-56.jpg,1920,1280,0.46,JPEG
images/sections/events/kayamut-2022/476242550_1057424186382593_5042097565740331508_n.jpg,1600,1067,0.45,JPEG
